Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
-----------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (win64) Build 3064766 Wed Nov 18 09:12:45 MST 2020
| Date         : Wed Sep  8 11:56:11 2021
| Host         : DESKTOP-CQEKB9O running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical -file {F:\MRSA\Hardware\MRSA 1 PE\ALVEO U280\utilization_report.txt}
| Design       : scrypt_1_romix_ip_v1_0
| Device       : xcu280fsvh2892-2L
| Design State : Synthesized
-----------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------------------+---------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                  Instance                 |              Module             | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
+-------------------------------------------+---------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
| scrypt_1_romix_ip_v1_0                    |                           (top) |       8902 |       8870 |      32 |    0 | 10540 |     28 |      1 |    0 |          0 |
|   (scrypt_1_romix_ip_v1_0)                |                           (top) |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|   scrypt_1_romix_ip_v1_0_S00_AXI_inst     |  scrypt_1_romix_ip_v1_0_S00_AXI |       8902 |       8870 |      32 |    0 | 10540 |     28 |      1 |    0 |          0 |
|     (scrypt_1_romix_ip_v1_0_S00_AXI_inst) |  scrypt_1_romix_ip_v1_0_S00_AXI |        136 |        104 |      32 |    0 |    93 |      0 |      0 |    0 |          0 |
|     top_ip                                |              scrypt_1_romix_top |       8766 |       8766 |       0 |    0 | 10447 |     28 |      1 |    0 |          0 |
|       (top_ip)                            |              scrypt_1_romix_top |        263 |        263 |       0 |    0 |   359 |      0 |      0 |    0 |          0 |
|       scrypt_1_romix_core                 |                      scrypt_new |       8503 |       8503 |       0 |    0 | 10088 |     28 |      1 |    0 |          0 |
|         p1                                |                        pbkdf2_1 |       2086 |       2086 |       0 |    0 |  3109 |      0 |      0 |    0 |          0 |
|           (p1)                            |                        pbkdf2_1 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|           controller                      |                     pbkdf2_1_ct |        225 |        225 |       0 |    0 |    28 |      0 |      0 |    0 |          0 |
