Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (win64) Build 3064766 Wed Nov 18 09:12:45 MST 2020
| Date         : Wed Sep  8 12:44:26 2021
| Host         : DESKTOP-CQEKB9O running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical -file {F:\MRSA\Hardware\MRSA 32 PEs\ALVEO U280\utilization_report.txt}
| Design       : scrypt_32_romix_ip_v1_0
| Device       : xcu280fsvh2892-2L
| Design State : Synthesized
-------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------------+-----------------------------------+------------+------------+---------+------+--------+--------+--------+------+------------+
|                  Instance                  |               Module              | Total LUTs | Logic LUTs | LUTRAMs | SRLs |   FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
+--------------------------------------------+-----------------------------------+------------+------------+---------+------+--------+--------+--------+------+------------+
| scrypt_32_romix_ip_v1_0                    |                             (top) |     142179 |     142147 |      32 |    0 | 157482 |    896 |     32 |    0 |          0 |
|   (scrypt_32_romix_ip_v1_0)                |                             (top) |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|   scrypt_32_romix_ip_v1_0_S00_AXI_inst     |   scrypt_32_romix_ip_v1_0_S00_AXI |     142179 |     142147 |      32 |    0 | 157482 |    896 |     32 |    0 |          0 |
|     (scrypt_32_romix_ip_v1_0_S00_AXI_inst) |   scrypt_32_romix_ip_v1_0_S00_AXI |        136 |        104 |      32 |    0 |     93 |      0 |      0 |    0 |          0 |
|     top_ip                                 |               scrypt_32_romix_top |     142043 |     142043 |       0 |    0 | 157389 |    896 |     32 |    0 |          0 |
|       (top_ip)                             |               scrypt_32_romix_top |        374 |        374 |       0 |    0 |    359 |      0 |      0 |    0 |          0 |
|       scrypt_32_romix_core                 |               scrypt_new_proposed |     141669 |     141669 |       0 |    0 | 157030 |    896 |     32 |    0 |          0 |
|         (scrypt_32_romix_core)             |               scrypt_new_proposed |         64 |         64 |       0 |    0 |   1025 |      0 |      0 |    0 |          0 |
|         first_counter_ip                   |        first_up_counter_for_romix |         48 |         48 |       0 |    0 |      5 |      0 |      0 |    0 |          0 |
|         mux_ixor                           |                           mux32_1 |       2304 |       2304 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|         mux_out_rm_cvt                     |           mux32_1__parameterized0 |       9216 |       9216 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|         mux_oxor                           |                         mux32_1_0 |       2304 |       2304 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|         p1                                 |                          pbkdf2_1 |       2129 |       2129 |       0 |    0 |   3109 |      0 |      0 |    0 |          0 |
|           controller                       |                       pbkdf2_1_ct |        224 |        224 |       0 |    0 |     28 |      0 |      0 |    0 |          0 |
|           datapath                         |                       pbkdf2_1_dp |       1905 |       1905 |       0 |    0 |   3081 |      0 |      0 |    0 |          0 |
|             (datapath)                     |                       pbkdf2_1_dp |          0 |          0 |       0 |    0 |   2048 |      0 |      0 |    0 |          0 |
|             mux_sel_block_in               |                             mux21 |        144 |        144 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|             mux_sel_block_in_i_hash        |                         mux41_531 |        131 |        131 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|             mux_sel_prev_hash              |             mux41__parameterized0 |        256 |        256 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|             sha256_core                    |          sha256_core_standard_532 |       1374 |       1374 |       0 |    0 |   1033 |      0 |      0 |    0 |          0 |
|               controller                   |      sha256_core_standard_fsm_533 |        517 |        517 |       0 |    0 |      3 |      0 |      0 |    0 |          0 |
|               datapath                     | sha256_core_standard_datapath_534 |        888 |        888 |       0 |    0 |   1030 |      0 |      0 |    0 |          0 |
|         p2                                 |                          pbkdf2_2 |       1879 |       1879 |       0 |    0 |   2838 |      0 |      0 |    0 |          0 |
|           controller                       |                       pbkdf2_2_ct |        306 |        306 |       0 |    0 |     13 |      0 |      0 |    0 |          0 |
|           datapath                         |                       pbkdf2_2_dp |       1573 |       1573 |       0 |    0 |   2825 |      0 |      0 |    0 |          0 |
|             (datapath)                     |                       pbkdf2_2_dp |          0 |          0 |       0 |    0 |   1792 |      0 |      0 |    0 |          0 |
|             mux_sel_block_in_i_hash        |                             mux41 |        256 |        256 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
