Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (win64) Build 3064766 Wed Nov 18 09:12:45 MST 2020
| Date         : Wed Sep  8 17:00:54 2021
| Host         : DESKTOP-CQEKB9O running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical -file {F:\MRSA\Hardware\MRSA 64 PEs\ALVEO U280\utilization_report.txt}
| Design       : scrypt_64_romix_ip_v1_0
| Device       : xcu280fsvh2892-2L
| Design State : Synthesized
-------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------------+------------------------------------+------------+------------+---------+------+--------+--------+--------+------+------------+
|                  Instance                  |               Module               | Total LUTs | Logic LUTs | LUTRAMs | SRLs |   FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
+--------------------------------------------+------------------------------------+------------+------------+---------+------+--------+--------+--------+------+------------+
| scrypt_64_romix_ip_v1_0                    |                              (top) |     278236 |     278204 |      32 |    0 | 305483 |   1792 |     64 |    0 |          0 |
|   (scrypt_64_romix_ip_v1_0)                |                              (top) |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|   scrypt_64_romix_ip_v1_0_S00_AXI_inst     |    scrypt_64_romix_ip_v1_0_S00_AXI |     278236 |     278204 |      32 |    0 | 305483 |   1792 |     64 |    0 |          0 |
|     (scrypt_64_romix_ip_v1_0_S00_AXI_inst) |    scrypt_64_romix_ip_v1_0_S00_AXI |        136 |        104 |      32 |    0 |     93 |      0 |      0 |    0 |          0 |
|     top_ip                                 |                scrypt_64_romix_top |     278100 |     278100 |       0 |    0 | 305390 |   1792 |     64 |    0 |          0 |
|       (top_ip)                             |                scrypt_64_romix_top |        374 |        374 |       0 |    0 |    359 |      0 |      0 |    0 |          0 |
|       scrypt_64_romix_core                 |                    scrypt_64_romix |     277726 |     277726 |       0 |    0 | 305031 |   1792 |     64 |    0 |          0 |
|         (scrypt_64_romix_core)             |                    scrypt_64_romix |         64 |         64 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|         first_counter_ip                   |                   up_counter_6_bit |         95 |         95 |       0 |    0 |      6 |      0 |      0 |    0 |          0 |
|         mux_ixor                           |                            mux64_1 |       4352 |       4352 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|         mux_out_rm_cvt                     |            mux64_1__parameterized0 |      17408 |      17408 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|         mux_oxor                           |                          mux64_1_0 |       4352 |       4352 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|         p1                                 |                           pbkdf2_1 |       2129 |       2129 |       0 |    0 |   3109 |      0 |      0 |    0 |          0 |
|           controller                       |                        pbkdf2_1_ct |        224 |        224 |       0 |    0 |     28 |      0 |      0 |    0 |          0 |
|           datapath                         |                        pbkdf2_1_dp |       1905 |       1905 |       0 |    0 |   3081 |      0 |      0 |    0 |          0 |
|             (datapath)                     |                        pbkdf2_1_dp |          0 |          0 |       0 |    0 |   2048 |      0 |      0 |    0 |          0 |
|             mux_sel_block_in               |                              mux21 |        144 |        144 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|             mux_sel_block_in_i_hash        |                         mux41_1075 |        131 |        131 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|             mux_sel_prev_hash              |              mux41__parameterized0 |        256 |        256 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|             sha256_core                    |          sha256_core_standard_1076 |       1374 |       1374 |       0 |    0 |   1033 |      0 |      0 |    0 |          0 |
|               controller                   |      sha256_core_standard_fsm_1077 |        517 |        517 |       0 |    0 |      3 |      0 |      0 |    0 |          0 |
|               datapath                     | sha256_core_standard_datapath_1078 |        888 |        888 |       0 |    0 |   1030 |      0 |      0 |    0 |          0 |
|         p2                                 |                           pbkdf2_2 |       1880 |       1880 |       0 |    0 |   2838 |      0 |      0 |    0 |          0 |
|           controller                       |                        pbkdf2_2_ct |        307 |        307 |       0 |    0 |     13 |      0 |      0 |    0 |          0 |
|           datapath                         |                        pbkdf2_2_dp |       1573 |       1573 |       0 |    0 |   2825 |      0 |      0 |    0 |          0 |
|             (datapath)                     |                        pbkdf2_2_dp |          0 |          0 |       0 |    0 |   1792 |      0 |      0 |    0 |          0 |
|             mux_sel_block_in_i_hash        |                              mux41 |        256 |        256 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|             sha256_core                    |               sha256_core_standard |       1317 |       1317 |       0 |    0 |   1033 |      0 |      0 |    0 |          0 |
|               controller                   |           sha256_core_standard_fsm |        513 |        513 |       0 |    0 |      3 |      0 |      0 |    0 |          0 |
|               datapath                     |      sha256_core_standard_datapath |        835 |        835 |       0 |    0 |   1030 |      0 |      0 |    0 |          0 |
|         rm_0                               |                          romix_new |       3866 |       3866 |       0 |    0 |   4657 |     28 |      1 |    0 |          0 |
|           (rm_0)                           |                          romix_new |          4 |          4 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|           controller                       |                  romix_new_ct_1059 |         41 |         41 |       0 |    0 |     10 |      0 |      0 |    0 |          0 |
|           datapath                         |                  romix_new_dp_1060 |       3821 |       3821 |       0 |    0 |   4647 |     28 |      1 |    0 |          0 |
|             (datapath)                     |                  romix_new_dp_1060 |          0 |          0 |       0 |    0 |    522 |      0 |      0 |    0 |          0 |
|             blockmix                       |                 blockmix_dpct_1061 |       2781 |       2781 |       0 |    0 |   4115 |      0 |      0 |    0 |          0 |
|               controller                   |                   blockmix_ct_1065 |          2 |          2 |       0 |    0 |     15 |      0 |      0 |    0 |          0 |
|               datapath                     |                   blockmix_dp_1066 |       2779 |       2779 |       0 |    0 |   4100 |      0 |      0 |    0 |          0 |
|                 (datapath)                 |                   blockmix_dp_1066 |       1536 |       1536 |       0 |    0 |   3584 |      0 |      0 |    0 |          0 |
